address,property_type,parking_spaces,land_size,building_size,num_bedrooms,num_bathrooms,price
"Hacienda San Jose Cholul 20750, Hacienda Casa Grande, Tijuana, Baja California, Tijuana, Baja California 22244",House,2,"1,781.86 sq ft","1,065.63 sq ft",,,"USD $162,516"
"Vietri 12103, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,3,,,4,4,"USD $225,000"
"Carlota Maldonado 135, Defensores de Baja California, Tijuana, Baja California, Tijuana, Baja California 22416",Unit,2,,,2,2,"USD $203,751"
"P.º del Bosque 25275, Del Bosque 0, Villa Residencial del Bosque, Tijuana, Baja California, Tijuana, Baja California 22204",Land,,"110,622.11 sq ft",,,,"USD $2,243,545"
"Valle de San Andrés 7514, Valle del Sur, Tijuana, Baja California, Tijuana, Baja California 22637",House,2,,,3,3,"USD $211,028"
"C. Costa Rica 10881, Bonaterra, Tijuana, Baja California, Tijuana, Baja California 22647",Unit,2,,,3,2,"USD $135,834"
"Punta Bandera, Tijuana, Baja California",Land/Development,,"4,714.59 sq ft",,,,"USD $325,000"
"Risco 1093, San Antonio del Mar, Tijuana, Baja California, Tijuana, Baja California 22560",House,2,,,3,3,"USD $319,999"
"COND CANAVERAL 14862-9, Hacienda Las Delicias, Tijuana, Baja California, Tijuana, Baja California 22163",House,1,,,1,1,"USD $25,226"
"hacienda los morales 22654, Alfredo Ames, Tijuana, Baja California, Tijuana, Baja California 22654",Land,,"2,152.78 sq ft",,,,"USD $25,000"
"Tijuana, Baja California 22125",House,,,"1,184.03 sq ft",3,2,"USD $157,179"
"LAGUNA ENCANTADA 9551, Lagunitas, Tijuana, Baja California, Tijuana, Baja California 22646",Land,,"2,152.78 sq ft",,,,"USD $50,000"
"Colina San Pedro S/N, Lomas De La Presa, Tijuana, Baja California, Tijuana, Baja California 22125",House,2,,,3,3,"USD $157,179"
"fuentes de Rosarito 10249, Hacienda las Fuentes, Tijuana, Baja California, Tijuana, Baja California 22245",House,2,,,2,1,"USD $106,727"
"Balcon las huertas 1212121, Balcón Las Huertas, Tijuana, Baja California, Tijuana, Baja California 22116",Unit,2,,,2,2,"USD $162,040"
"Calle Cantil 158, San Antonio del Mar, Tijuana, Baja California, Tijuana, Baja California 22560",House,1,,,3,2,"USD $280,000"
"ISLA CHICA 1508, Villas del Roble, Tijuana, Baja California, Tijuana, Baja California 22842",House,2,,,2,1,"USD $43,661"
"Av. Miguel F. Martínez, Tijuana, Baja California 22000",Apartment,,,581.25 sq ft,1,1,"USD $135,834"
"HACIENDA LINDA VISTA 3615-4, Hacienda Linda Vista, Tijuana, Baja California, Tijuana, Baja California 22536",Unit,2,,,2,1,"USD $169,792"
"ESCOLLO 2934, Paseos del Vergel, Tijuana, Baja California, Tijuana, Baja California 22253",House,1,,,2,1,"USD $70,343"
"17451 Benito Juárez, Tijuana, Baja California 22180",Apartment,,,882.64 sq ft,2,2,"USD $145,207"
"4, Playa Hermosa, Tijuana, Baja California, Tijuana, Baja California 22890",House,2,,,3,2,"USD $210,000"
"Av. Benito Juárez 236, El Sauzal, Tijuana, Baja California, Tijuana, Baja California 22760",House,10,,,8,5,"USD $599,000"
"Primera 2, La Ciénega, Tijuana, Baja California, Tijuana, Baja California 22120",Land,,"7,093.42 sq ft",,,,"USD $320,000"
"MAYPAN 7G, Baja Malibú, Tijuana, Baja California, Tijuana, Baja California 22560",House,2,,,2,2,"USD $399,000"
"Tijuana, Baja California 22117",House,4,"3,226.81 sq ft","3,444.45 sq ft",3,2,"USD $278,945"
"17451 Benito Juárez, Tijuana, Baja California 22180",Apartment,1,"2,152.78 sq ft",990.28 sq ft,2,2,"USD $153,454"
"Callejon Pastor Roux 217, Obrera 1a Secc., Tijuana, Baja California, Tijuana, Baja California 22624",House,2,"24,567.76 sq ft","3,444.45 sq ft",2,1,"USD $106,727"
"Valle de Mexico 1, Murua Poniente, Tijuana, Baja California, Tijuana, Baja California 22456",House,2,,,2,2,"USD $116,381"
"Ernesto Sarmiento 2301, Burócrata Ruiz Cortines, Tijuana, Baja California, Tijuana, Baja California 22406",House,5,,,3,3,"USD $695,000"
"Paseo Centenario 1301, Zona Urbana Río Tijuana, Tijuana, Baja California, Tijuana, Baja California 22010",Unit,1,,,1,2,"USD $375,000"
"sueños del mar 0, Residencial San Marino, Tijuana, Baja California, Tijuana, Baja California 22567",House,,,,3,2,"USD $444,000"
"Tijuana, Baja California 22117",House,3,"2,552.45 sq ft","3,444.45 sq ft",2,1,"USD $278,945"
"17451 Benito Juárez, Tijuana, Baja California 22180",Apartment,1,"2,045.14 sq ft","5,414.25 sq ft",2,2,"USD $153,454"
"Callejon Pastor Roux 217, Obrera 1a Secc., Tijuana, Baja California, Tijuana, Baja California 22624",House,1,bathroom,"2,895.49 sq ft",3,2,"USD $106,727"
"Hidalgo 0, Hidalgo, Tijuana, Baja California, Tijuana, Baja California 22056",Unit,4,"24,567.76 sq ft","3,444.45 sq ft",1,1,"USD $625,000"
"17451 Benito Juárez, Tijuana, Baja California 22180",Apartment,1,"2,552.45 sq ft",990.28 sq ft,2,2,"USD $153,454"
"Callejon Pastor Roux 217, Obrera 1a Secc., Tijuana, Baja California, Tijuana, Baja California 22624",House,2,"2,152.78 sq ft","3,444.45 sq ft",2,1,"USD $106,727"
"PRIVADA COLMENARES 6422 U12, Santa Fe, Tijuana, Baja California, Tijuana, Baja California 22117",House,1,"2,045.14 sq ft","3,444.45 sq ft",3,2,"USD $116,429"
"Carretera a la Bufadora KM 3, camino de acceso S/N, Maneadero, Tijuana, Baja California, Tijuana, Baja California 22790",Land/Development,3,"24,567.76 sq ft","3,444.45 sq ft",1,1,"USD $210,000"
